"ESTADO","NOMBRE","Latitud N","Longitud W","Altitud (m)","Instalación en sitio",""
"CAMPECHE","ISLA DEL CARMEN","18°39'29.9''","091°45'55.1""","11.7","11-May-15",""
"CAMPECHE","LOS PETENES","19°56'36.4""","090°22'26.6""","3.323","29-Nov-12",""
"CAMPECHE","MONCLOVA","18°03'25""","090°49'15""","100","27-Dec-07",""
"CAMPECHE","YOHALTUM","19°00'49.7""","090°18'39.95""","80","26-Dec-07",""
"CHIAPAS","CAÑON DEL SUMIDERO","16°49'41.6""","093°05'42.6""","1253.923","5-Nov-12",""
"CHIAPAS","EL TRIUNFO","15°39´23.8"" ","092°48´29.3"" ","1974","31-Dec-12",""
"CHIAPAS","ESCUINTLA","15°17'51""","092°40'34""","42","29-Dec-03",""
"CHIAPAS","LA ENCRUCIJADA","15°04'06.26"" ","092°45´19.34""  ","1","24-Dec-12",""
"CHIAPAS","LAGUNAS  DE MONTEBELLO","16°06´52.5""","091°43´48.2""  ","1492","4-Dec-12",""
"CHIAPAS","MONTES AZULES","16°48´43.8""","091°31´29.6""  ","625","11-Dec-12",""
"CHIAPAS","PALENQUE","17°31'33""","091°59'25""","52","17-Dec-02",""
"CHIAPAS","VOLCAN TACANA","15°05´27.9""","092°08´50.3""  ","1492","19-Dec-12",""
"CHIHUAHUA","BASASEACHI","28°11'57""","108°12'32""","1973","7-May-99",""
"CHIHUAHUA","CD. CUAUHTEMOC","28°23'48.83""","106°50'21,79""","2102","27-Dec-07",""
"CHIHUAHUA","CHINATÚ","26°13'46""","106°46'14""","1982","4-Jun-99",""
"CHIHUAHUA","CHINIPAS","27°23'34""","108°32'11""","431","24-May-99",""
"CHIHUAHUA","CIUDAD DELICIAS","28°10'12""","105°30'00""","1188","26-Dec-03",""
"CHIHUAHUA","CUMBRES DE  MAJALCA","28°48'11.9""","106°29'09.6""","2088.841","6-Dec-12",""
"CHIHUAHUA","EL VERGEL","26°28'24""","106°23'25""","2800","28-Dec-07",""
"CHIHUAHUA","GUACHOCHI","26°48´52""","107°04´26""","2397 m","30-Apr-15",""
"CHIHUAHUA","JANOS ","30°50'20.3""","108°25'38.10""","1398.776","30-Nov-12",""
"CHIHUAHUA","JIMENEZ","27°06'39''","104°54'23''","1360","18-Nov-04",""
"CHIHUAHUA","MAGUARICHI","27°51'30""","107°59'40""","1663","10-Jun-99",""
"CHIHUAHUA","OJINAGA","29°32'03.88""","104°28'07.32""","790","27-Dec-07",""
"CHIHUAHUA","URIQUE","27°12'56""","107°55'01""","577","15-Apr-99",""
"CHIHUAHUA","VILLA AHUMADA","30°36'56.32""","106°30´18.64","1931","26-Dec-07",""
"COAHUILA","CUATRO CIÉNEGAS","27°00'08.8""","102°04'21.8""","556","26-Dec-07",""
"COAHUILA","MORELOS-MUZQUIZ","28°00'47""","101°42'41""","492","27-Dec-07",""
